netID,score
holist,0.3103125
holist,0.3008125
holist,0.32390625
holist,0.34840625
holist,0.3389375
holist,0.32696875
holist,0.30521875
holist,0.32653125
holist,0.33665625
holist,0.31209375
random,0.459875
random,0.44709375
random,0.46775
random,0.44096875
random,0.45284375
random,0.45315625
random,0.437
random,0.439125
random,0.45125
random,0.45459375
synergist,0.5076875
synergist,0.51165625
synergist,0.5090625
synergist,0.51671875
synergist,0.518875
synergist,0.5021875
synergist,0.50640625
synergist,0.53390625
synergist,0.51175
synergist,0.50190625
usnews,0.22240625
usnews,0.27225
usnews,0.24890625
usnews,0.27996875
usnews,0.27353125
usnews,0.24734375
usnews,0.23659375
usnews,0.25965625
usnews,0.26203125
usnews,0.248375
usnews,0.2585
usnews,0.2543125
usnews,0.243875
usnews,0.2458125
usnews,0.260375
usnews,0.2439375
usnews,0.2383125
usnews,0.27528125
usnews,0.2154375
usnews,0.25803125
usnews,0.278125
usnews,0.22884375
usnews,0.27746875
usnews,0.25584375
usnews,0.24671875
AAAAAA,0.68275
AAAAAA,0.68671875
AAAAAA,0.66453125
AAAAAA,0.68290625
AAAAAA,0.6623125
AAAAAA,0.6625625
AAAAAA,0.68515625
AAAAAA,0.67040625
AAAAAA,0.666875
